1 1     34.6967305360036     59.9257782745805      9.7223601521021
2 1     32.0661243265694     54.8779855511602     9.77477858284078
3 1     34.8419747468972     56.6426646439417     9.74428255798382
4 1     37.6131166191741     58.4114507296107     9.73355614001063
5 1     40.3826311069976      60.179385195597     9.74448290312395
6 1     29.3982923451506     49.8517963771217     9.85988300829151
7 1     32.1942168701935     51.6001975617088     9.81801069111259
8 1     34.9783526946991     53.3599067940816       9.783831076884
9 1      37.754140151914     55.1259146051625     9.76488826607412
10 1     40.5252398506693      56.892866121881     9.76531488183465
11 1     43.2946765210564     58.6553439764498     9.78488231737488
12 1     46.0652573658651     60.4074857867332     9.81901076525321
13 1      26.673513793267     44.8578062717864     9.92924371992609
14 1     29.4955871996907     46.5844452278779     9.89923889377247
15 1     32.3041090388696      48.324828494553       9.865028667123
16 1     35.0990727949351     50.0774522600751     9.83275284222549
17 1     37.8826560182704      51.838483675889     9.80988345871072
18 1     40.6583000634868     53.6027050946039     9.80222408953461
19 1      43.429508563346     55.3643421821993      9.8117108773868
20 1     46.1993821537607     57.1174229655497     9.83573842530364
21 1     48.9707923046652     58.8564448529424     9.86802542471977
22 1     51.7462158839861     60.5778594092531     9.90109054636276
23 1     23.8994700770553     39.8918962634478     9.96304085146993
24 1     26.7414707707205     41.6004624910386     9.95013613008333
25 1     29.5736617716536     43.3197258189702     9.93147364672887
26 1     32.3934641217645     45.0513240979312     9.90737485312856
27 1     35.1996283480975     46.7952122557013        9.88124593771
28 1     37.9928484466196     48.5490715854767      9.8590343551086
29 1     40.7756125482318      50.308499108195     9.84695371146454
30 1     43.5513045821227     52.0677831892958     9.84868997952935
31 1     46.3233851225328     53.8207280280016     9.86367429538241
32 1     49.0949448169439       55.56156300728     9.88734513518541
33 1     51.8685672061738     57.2861884581752     9.91317754863789
34 1     54.6460302072583     58.9932286842725     9.93567882591507
35 1     57.4281167488392     60.6840494509952     9.95224393331242
36 1     21.0962693581224     34.9432704416199     9.97314780026496
37 1     23.9488871823301     36.6408075560231     9.96963843156478
