1002 1 23.9755 39.8567 9.97123
1003 1 26.8391 41.5338 9.97008
1081 1 21.1378 34.9282 9.97177
1082 1 24.0008 36.6072 9.97001
1083 1 26.8635 38.2836 9.96999
1084 1 29.7253 39.9575 9.97146
1085 1 32.5863 41.6289 9.97391
1163 1 18.3057 29.997 9.97208
1164 1 21.1668 31.6794 9.97036
1165 1 24.0283 33.358 9.96994
1166 1 26.8893 35.0332 9.97098
1167 1 29.7496 36.7055 9.97339
1168 1 32.6088 38.3751 9.97662
1169 1 35.4669 40.0421 9.98026
1170 1 38.3239 41.7067 9.98415
1248 1 15.4839 25.0607 9.9696
1249 1 18.3409 26.7486 9.97022
1250 1 21.1993 28.431 9.9705
1251 1 24.0582 30.1085 9.97139
1252 1 26.917 31.7822 9.97337
1253 1 29.775 33.4526 9.97641
1254 1 32.6322 35.1199 9.98014
1255 1 35.4882 36.7846 9.98404
1256 1 38.3431 38.447 9.98794
1257 1 41.197 40.1072 9.99165
1258 1 44.05 41.7657 9.99502
1336 1 12.6809 20.1146 9.95583
1337 1 15.5294 21.8116 9.96457
1338 1 18.3818 23.5002 9.96932
1339 1 21.2362 25.182 9.97216
1340 1 24.0916 26.8583 9.97453
1341 1 26.9472 28.5301 9.97724
1342 1 29.8023 30.1982 9.98055
1343 1 32.6567 31.8631 9.98444
1344 1 35.5103 33.5253 9.98835
1345 1 38.363 35.1852 9.99213
1346 1 41.2147 36.8432 9.99556
1347 1 44.0656 38.4995 9.99856
1348 1 46.9158 40.1543 10.0012
1349 1 49.7652 41.8077 10.0034
1427 1 9.91218 15.1498 9.91494
1428 1 12.7441 16.8619 9.94077
1429 1 15.5844 18.5616 9.95804
1430 1 18.43 20.2508 9.96855
1431 1 21.279 21.932 9.97489
1432 1 24.1296 23.6067 9.979
1433 1 26.981 25.2763 9.98241
1434 1 29.8325 26.942 9.98585
1435 1 32.6836 28.6044 9.98948
1436 1 35.5341 30.2642 9.9931
1437 1 38.3841 31.9217 9.99641
1438 1 41.2334 33.5774 9.99946
